Chorthippus_ID	Locusta_ID	evalue	%_ident	aln_len	#_gaps
gi|283548988|gb|FM957016.1|FM957016	lcl|LMS_004533	3e-13	71.43	112	0
gi|283548993|gb|FM957021.1|FM957021	lcl|LMC_004005	3e-37	76.22	185	2
gi|283549006|gb|FM957034.1|FM957034	lcl|LMC_003935	5e-96	91.49	235	0
gi|283549022|gb|FM957050.1|FM957050	lcl|LMS_007562	2e-31	87.37	95	0
gi|283549037|gb|FM957055.1|FM957055	lcl|LMS_002733	2e-75	99.33	150	0
gi|283549039|gb|FM957058.1|FM957058	lcl|LMS_005117	8e-27	75.76	165	5
gi|283549050|gb|FM957078.1|FM957078	lcl|LMC_004506	2e-43	84.56	149	3
gi|375150676|gb|JK743821.1|JK743821	lcl|LMC_003174	2e-111	88.37	301	1
gi|375150681|gb|JK743826.1|JK743826	lcl|LMS_005414	1e-165	92.67	382	0
gi|375150683|gb|JK743828.1|JK743828	lcl|LMC_001052	2e-144	90.30	361	1
gi|375150684|gb|JK743829.1|JK743829	lcl|LMS_003042	1e-67	87.03	185	0
gi|375150685|gb|JK743830.1|JK743830	lcl|LMC_003941	4e-164	92.61	379	0
gi|375150700|gb|JK743845.1|JK743845	lcl|LMC_002078	1e-80	93.12	189	0
gi|375150704|gb|JK743849.1|JK743849	lcl|LMC_004329	1e-52	90.98	133	0
gi|375150706|gb|JK743851.1|JK743851	lcl|LMC_001990	2e-138	88.41	371	0
gi|375150712|gb|JK743857.1|JK743857	lcl|LMC_001825	5e-98	94.62	223	3
gi|375150714|gb|JK743859.1|JK743859	lcl|LMC_003941	4e-151	86.84	433	3
gi|375150718|gb|JK743863.1|JK743863	lcl|LMC_000081	1e-111	91.88	271	1
gi|375150718|gb|JK743863.1|JK743863	lcl|LMC_000081	2e-96	86.16	289	2
gi|375150721|gb|JK743866.1|JK743866	lcl|LMC_000081	1e-96	86.16	289	2
gi|375150721|gb|JK743866.1|JK743866	lcl|LMC_000081	6e-24	86.67	75	0
